X (m),Y (m),"Color (R,G,B)",Ruta .pgm
-2.5500000000000007,2.789999999999999,"[94, 44, 119]",../output_files/restricted_maps/casa4_area_1.pgm
1.5599999999999987,2.76,"[104, 111, 110]",../output_files/restricted_maps/casa4_area_2.pgm
8.76,2.8499999999999996,"[67, 72, 73]",../output_files/restricted_maps/casa4_area_3.pgm
4.68,0.5999999999999996,"[8, 211, 168]",../output_files/restricted_maps/casa4_area_4.pgm
-0.08999999999999986,-0.3000000000000007,"[22, 132, 67]",../output_files/restricted_maps/casa4_area_5.pgm
8.76,-0.41999999999999993,"[77, 51, 178]",../output_files/restricted_maps/casa4_area_6.pgm
-2.670000000000001,-3.420000000000001,"[86, 126, 21]",../output_files/restricted_maps/casa4_area_7.pgm
2.7299999999999986,-3.5100000000000007,"[238, 127, 170]",../output_files/restricted_maps/casa4_area_8.pgm
7.709999999999999,-3.66,"[3, 16, 92]",../output_files/restricted_maps/casa4_area_9.pgm
