X (m),Y (m),"Color (R,G,B)",Ruta .pgm
-10.559999999999999,-0.5400000000000009,"[182, 217, 250]",../output_files/restricted_maps/casa1_area_1.pgm
-2.6999999999999993,-1.7400000000000002,"[42, 32, 81]",../output_files/restricted_maps/casa1_area_2.pgm
-8.61,-4.890000000000001,"[69, 71, 89]",../output_files/restricted_maps/casa1_area_3.pgm
-0.5399999999999991,-4.920000000000001,"[11, 103, 147]",../output_files/restricted_maps/casa1_area_4.pgm
